ID,"
ZIP",Total PIF Q1 2010,Total PIF Q2 2010,Total PIF Q3 2010,Total PIF Q4 2010,Total PIF Q1 2011,P&C PIF Q1 2010,P&C PIF Q2 2010,P&C PIF Q3 2010,P&C PIF Q4 2010,P&C PIF Q1 2011,AF PIF Q1 2010,AF PIF Q2 2010,AF PIF Q3 2010,AF PIF Q4 2010,AF PIF Q1 2011,% multi-line Q1 2010,% multi-line Q2 2010,% multi-line Q3 2010,% multi-line Q4 2010,% multi-line Q1 2011,% Retention Q1 2010,% Retention Q2 2010,% Retention Q3 2010,% Retention Q4 2010,% Retention Q1 2011,created_at,updated_at
181,206,50,90,423,68,242,206,101,182,432,97,7,383,408,402,403,47,86,39,49,48,89,36,44,36,6,14/9/18 0:00,14/9/18 0:00
182,207,346,229,280,481,473,278,362,282,22,185,76,343,435,359,342,20,43,62,22,17,61,87,29,27,82,14/9/18 0:00,14/9/18 0:00
183,208,331,8,382,103,90,395,135,349,241,187,11,211,11,148,283,31,36,0,34,30,69,75,34,21,13,14/9/18 0:00,14/9/18 0:00
184,209,165,66,82,442,289,251,49,84,255,308,484,152,7,116,432,62,19,45,96,69,63,14,75,40,9,14/9/18 0:00,14/9/18 0:00
185,210,273,315,243,42,178,188,297,30,400,11,113,213,426,360,283,83,65,43,93,53,48,1,89,9,61,14/9/18 0:00,14/9/18 0:00
186,211,488,257,9,224,412,354,158,125,221,466,58,382,410,117,253,49,85,73,93,90,97,13,25,50,25,14/9/18 0:00,14/9/18 0:00
187,212,114,108,3,288,190,137,61,22,403,413,27,399,486,228,253,43,39,8,45,71,81,64,25,19,9,14/9/18 0:00,14/9/18 0:00
188,214,106,458,214,238,485,407,338,136,440,432,340,57,437,36,237,88,38,36,31,21,86,30,40,59,41,14/9/18 0:00,14/9/18 0:00
189,215,451,20,269,486,73,1,362,316,265,393,278,129,178,413,15,67,36,99,53,9,26,73,13,24,30,14/9/18 0:00,14/9/18 0:00
190,216,477,336,434,435,325,20,324,392,315,74,174,268,108,254,291,38,50,71,14,22,64,3,77,83,52,14/9/18 0:00,14/9/18 0:00
191,217,186,383,29,219,53,282,71,39,232,415,49,18,419,346,344,9,38,43,41,29,12,27,66,62,60,14/9/18 0:00,14/9/18 0:00
192,218,254,4,436,8,153,147,348,235,433,60,369,414,222,240,158,81,37,46,23,55,55,29,49,97,56,14/9/18 0:00,14/9/18 0:00
193,219,97,47,255,340,109,336,187,309,275,381,220,434,120,454,171,97,69,79,82,26,2,61,99,47,10,14/9/18 0:00,14/9/18 0:00
194,220,476,179,369,202,57,154,198,35,42,38,195,110,371,434,312,89,63,44,21,0,53,43,23,7,17,14/9/18 0:00,14/9/18 0:00
195,221,82,35,174,144,62,143,478,393,131,98,313,250,451,419,165,3,44,42,43,65,0,1,37,13,22,14/9/18 0:00,14/9/18 0:00
196,222,388,101,268,141,362,69,81,33,402,226,348,212,319,304,223,14,14,11,81,14,76,50,8,10,85,14/9/18 0:00,14/9/18 0:00
197,223,402,290,434,114,395,288,445,290,49,255,160,176,391,291,227,97,59,94,67,65,54,55,85,22,52,14/9/18 0:00,14/9/18 0:00
198,224,10,282,407,297,455,238,487,111,156,98,215,293,240,380,273,58,32,9,71,40,23,12,51,24,37,14/9/18 0:00,14/9/18 0:00
199,225,418,49,329,288,360,34,105,406,249,167,93,125,208,110,162,47,20,31,98,2,61,100,84,89,3,14/9/18 0:00,14/9/18 0:00
200,226,173,380,290,444,36,29,449,79,368,183,452,487,63,406,313,38,46,58,3,14,34,17,24,99,38,14/9/18 0:00,14/9/18 0:00
201,227,29,53,166,340,192,260,344,434,387,352,162,348,205,217,89,86,70,53,96,34,44,25,28,33,25,14/9/18 0:00,14/9/18 0:00
202,228,322,142,226,490,134,168,481,111,498,222,23,234,89,204,15,52,62,100,50,27,81,0,1,88,61,14/9/18 0:00,14/9/18 0:00
203,229,210,175,148,270,209,445,461,142,265,498,211,3,257,377,378,69,20,28,89,2,54,24,60,27,78,14/9/18 0:00,14/9/18 0:00
204,230,86,34,84,261,420,493,391,181,418,186,147,324,11,399,192,67,45,85,71,59,26,59,74,50,46,14/9/18 0:00,14/9/18 0:00
205,231,362,193,270,488,439,289,488,129,109,79,438,9,225,346,213,99,94,98,8,79,29,70,83,87,46,14/9/18 0:00,14/9/18 0:00
206,232,248,411,373,100,500,94,83,477,315,334,92,71,389,65,413,12,4,79,83,34,93,23,74,4,62,14/9/18 0:00,14/9/18 0:00
207,233,369,381,428,39,153,198,29,332,87,172,499,143,372,487,230,29,9,57,69,76,23,63,47,38,3,14/9/18 0:00,14/9/18 0:00
208,234,169,419,89,394,351,245,8,130,339,130,105,140,295,376,378,46,9,38,64,59,63,15,23,21,1,14/9/18 0:00,14/9/18 0:00
209,235,45,462,496,400,54,460,492,174,281,6,306,288,195,439,258,2,83,20,89,6,93,38,62,14,87,14/9/18 0:00,14/9/18 0:00
210,236,265,263,490,486,180,450,13,343,463,392,62,43,227,232,130,45,10,0,86,66,23,51,19,35,45,14/9/18 0:00,14/9/18 0:00
211,237,55,459,22,397,43,341,354,470,319,218,248,26,79,132,266,84,9,48,30,82,5,89,45,1,3,14/9/18 0:00,14/9/18 0:00
212,238,419,18,231,342,73,82,147,467,415,499,425,209,82,141,179,12,10,74,37,5,20,37,9,12,27,14/9/18 0:00,14/9/18 0:00
213,239,244,368,210,15,276,434,436,400,75,280,176,32,23,333,225,80,70,35,27,18,4,42,43,80,89,14/9/18 0:00,14/9/18 0:00
214,240,329,122,137,137,47,17,370,4,144,200,147,216,154,212,203,66,76,52,54,68,17,12,12,4,57,14/9/18 0:00,14/9/18 0:00
215,241,281,31,100,193,226,114,54,93,365,298,336,425,375,371,321,44,47,96,73,21,60,50,11,67,43,14/9/18 0:00,14/9/18 0:00
216,242,440,175,198,350,123,211,246,480,10,53,488,347,336,350,425,54,99,4,68,95,39,34,41,69,24,14/9/18 0:00,14/9/18 0:00
217,243,499,446,143,130,40,306,346,170,232,434,427,104,442,62,166,47,62,92,95,3,93,9,82,54,45,14/9/18 0:00,14/9/18 0:00
218,244,42,105,380,88,8,463,179,418,49,421,241,420,423,118,132,36,30,86,13,58,36,61,29,6,68,14/9/18 0:00,14/9/18 0:00
219,245,233,80,24,361,415,205,98,101,493,409,111,170,308,441,267,91,47,95,78,37,20,34,72,98,35,14/9/18 0:00,14/9/18 0:00
220,246,336,339,93,331,21,109,6,264,161,34,205,186,226,257,43,82,29,79,63,79,89,74,49,62,5,14/9/18 0:00,14/9/18 0:00
221,247,34,440,207,92,223,471,371,112,482,23,492,351,433,216,249,17,8,59,39,79,1,51,25,31,94,14/9/18 0:00,14/9/18 0:00
222,248,264,201,427,210,246,156,154,499,498,187,192,198,268,360,495,78,59,78,79,84,78,53,76,91,34,14/9/18 0:00,14/9/18 0:00
223,249,167,338,223,389,236,217,408,1,68,242,446,230,88,35,248,5,20,0,85,34,71,22,1,51,30,14/9/18 0:00,14/9/18 0:00
224,250,275,415,21,298,49,208,11,131,53,265,96,78,416,493,253,39,80,25,28,93,45,67,49,84,61,14/9/18 0:00,14/9/18 0:00
225,251,87,102,348,244,339,242,345,64,400,184,500,53,400,26,472,95,62,6,85,15,84,74,85,18,98,14/9/18 0:00,14/9/18 0:00
226,252,169,147,283,166,304,289,108,153,23,282,110,317,212,481,321,11,26,40,55,77,8,11,100,72,33,14/9/18 0:00,14/9/18 0:00
227,253,214,448,141,228,299,242,72,183,385,347,291,22,79,41,483,59,16,85,59,43,86,80,89,43,18,14/9/18 0:00,14/9/18 0:00
228,254,422,43,209,286,101,274,294,316,204,412,392,378,342,228,63,36,14,60,40,62,20,97,32,75,24,14/9/18 0:00,14/9/18 0:00
229,255,463,479,491,134,102,97,405,84,414,7,258,164,365,403,417,92,29,28,37,4,48,11,80,18,33,14/9/18 0:00,14/9/18 0:00
230,256,18,299,51,451,453,417,110,316,404,163,369,173,228,310,212,99,36,93,44,35,38,37,62,75,55,14/9/18 0:00,14/9/18 0:00
231,257,368,209,153,230,460,454,188,481,8,490,147,13,274,193,390,38,61,76,39,95,39,42,5,21,87,14/9/18 0:00,14/9/18 0:00
232,258,1,301,390,345,184,462,267,370,399,366,493,220,243,320,465,31,60,77,12,20,46,94,86,14,68,14/9/18 0:00,14/9/18 0:00
233,259,93,301,335,142,174,474,423,138,400,416,473,427,55,368,193,46,69,15,86,80,14,76,15,20,99,14/9/18 0:00,14/9/18 0:00
234,260,461,68,168,451,433,466,423,47,201,303,487,487,398,478,411,8,53,97,6,45,92,59,76,17,97,14/9/18 0:00,14/9/18 0:00
235,261,345,260,17,103,117,247,69,443,238,321,373,409,465,296,47,63,71,24,72,7,17,55,54,75,58,14/9/18 0:00,14/9/18 0:00
236,262,248,5,245,131,204,363,464,332,497,128,266,467,491,455,490,32,70,25,52,8,8,16,32,27,68,14/9/18 0:00,14/9/18 0:00
237,263,367,27,196,134,194,358,47,207,166,151,18,435,258,60,417,30,26,8,97,5,47,92,87,30,57,14/9/18 0:00,14/9/18 0:00
238,264,39,317,425,122,4,304,390,41,223,64,435,258,153,307,240,48,28,40,7,98,37,9,68,17,80,14/9/18 0:00,14/9/18 0:00
239,265,125,321,421,386,261,108,248,239,409,442,39,359,19,67,107,26,39,67,21,71,95,87,16,68,16,14/9/18 0:00,14/9/18 0:00
240,266,325,87,234,486,281,60,459,232,393,146,315,404,164,58,80,81,27,18,16,8,99,20,23,1,74,14/9/18 0:00,14/9/18 0:00
241,267,82,358,143,48,163,323,149,310,408,197,98,24,143,291,233,8,50,27,6,81,55,74,33,6,1,14/9/18 0:00,14/9/18 0:00
242,268,242,221,234,471,424,25,377,437,211,55,293,47,327,37,455,4,20,7,36,64,81,82,26,87,86,14/9/18 0:00,14/9/18 0:00
243,270,278,202,150,183,35,94,397,390,209,320,74,32,313,188,490,17,18,4,63,36,47,35,3,27,66,14/9/18 0:00,14/9/18 0:00
244,271,355,90,6,44,286,10,320,361,112,339,263,183,414,203,144,18,3,72,68,59,81,57,89,40,1,14/9/18 0:00,14/9/18 0:00
245,272,47,205,287,440,421,96,383,54,16,466,145,29,374,329,397,60,90,92,59,82,54,58,40,5,79,14/9/18 0:00,14/9/18 0:00
246,273,27,176,36,87,369,443,363,138,158,265,22,78,462,386,79,61,80,66,19,49,93,18,2,14,65,14/9/18 0:00,14/9/18 0:00
247,274,309,144,66,356,415,329,339,438,344,169,387,68,306,134,17,42,92,80,55,32,93,61,23,0,27,14/9/18 0:00,14/9/18 0:00
248,275,474,129,489,313,361,231,390,397,10,476,494,393,143,243,429,83,54,80,41,52,79,16,66,45,59,14/9/18 0:00,14/9/18 0:00
249,276,141,476,288,468,489,495,102,40,71,496,37,48,294,84,154,78,76,66,7,21,10,11,44,66,14,14/9/18 0:00,14/9/18 0:00
250,277,60,224,251,145,180,429,430,265,385,266,321,157,187,221,76,79,29,40,94,78,11,93,43,40,58,14/9/18 0:00,14/9/18 0:00
251,278,109,142,255,252,444,88,61,122,8,483,380,424,33,347,157,8,11,58,64,14,100,8,36,62,69,14/9/18 0:00,14/9/18 0:00
252,279,173,123,57,8,239,3,159,499,35,170,66,137,264,280,158,66,27,57,3,52,17,85,98,69,14,14/9/18 0:00,14/9/18 0:00
253,280,230,215,494,47,148,402,50,7,341,380,51,336,146,92,195,34,91,28,1,96,8,9,55,87,1,14/9/18 0:00,14/9/18 0:00
254,281,57,336,148,457,306,338,278,71,159,331,143,33,282,103,35,92,26,74,97,2,75,3,86,96,9,14/9/18 0:00,14/9/18 0:00
255,282,64,119,312,263,264,205,478,18,159,24,232,127,479,22,470,14,44,9,54,86,85,22,97,100,40,14/9/18 0:00,14/9/18 0:00
256,283,403,321,439,196,472,113,303,1,490,165,99,416,135,95,74,22,33,82,43,3,3,84,89,54,54,14/9/18 0:00,14/9/18 0:00
257,284,111,346,327,114,28,472,244,140,338,455,167,41,16,274,449,85,68,83,69,15,87,14,72,97,58,14/9/18 0:00,14/9/18 0:00
258,285,496,207,132,242,21,94,278,137,163,466,24,319,429,372,417,0,50,49,59,84,23,32,90,15,93,14/9/18 0:00,14/9/18 0:00
259,286,373,215,180,210,3,372,259,323,103,320,452,14,218,157,92,34,24,16,9,77,71,65,76,56,14,14/9/18 0:00,14/9/18 0:00
260,287,277,240,93,73,137,269,218,114,314,435,162,212,192,345,468,48,71,45,52,40,6,97,87,24,62,14/9/18 0:00,14/9/18 0:00
261,288,260,390,169,312,421,318,402,307,478,181,305,422,472,27,345,96,94,5,10,69,8,17,54,65,41,14/9/18 0:00,14/9/18 0:00
262,289,250,37,484,28,177,271,354,27,117,395,235,205,177,370,139,79,37,38,28,91,12,45,77,18,10,14/9/18 0:00,14/9/18 0:00
263,290,62,33,24,498,164,209,86,417,472,120,172,209,66,355,132,100,63,52,9,68,20,41,59,39,91,14/9/18 0:00,14/9/18 0:00
264,291,97,368,391,69,384,32,357,143,195,371,145,288,13,344,163,49,64,66,100,27,27,43,1,61,25,14/9/18 0:00,14/9/18 0:00
265,292,323,255,311,60,336,342,473,259,21,347,112,54,256,72,175,8,15,65,82,52,72,72,1,67,62,14/9/18 0:00,14/9/18 0:00
266,293,491,171,496,495,426,263,93,366,42,175,227,46,125,391,262,64,46,35,12,1,4,90,2,5,51,14/9/18 0:00,14/9/18 0:00
267,294,100,263,106,282,264,22,344,464,464,147,241,319,255,322,68,18,65,45,23,16,75,19,47,59,44,14/9/18 0:00,14/9/18 0:00
268,295,127,454,234,32,130,289,400,117,146,75,42,206,96,24,16,73,9,35,48,5,41,21,11,52,52,14/9/18 0:00,14/9/18 0:00
269,296,343,22,28,307,113,201,408,288,62,3,425,316,375,494,389,46,76,13,28,54,20,51,39,81,78,14/9/18 0:00,14/9/18 0:00
270,297,352,175,427,227,245,132,449,375,149,49,125,270,360,482,34,30,88,84,30,29,94,97,89,22,53,14/9/18 0:00,14/9/18 0:00
271,298,218,107,373,237,123,466,182,483,215,478,424,455,92,3,71,28,55,5,47,79,53,77,13,86,99,14/9/18 0:00,14/9/18 0:00
272,299,442,329,11,259,105,110,389,482,239,389,46,101,131,306,485,76,34,35,15,45,24,69,10,4,92,14/9/18 0:00,14/9/18 0:00
273,300,387,464,347,406,429,272,149,262,214,223,266,291,193,379,485,91,25,2,58,18,17,85,39,60,39,14/9/18 0:00,14/9/18 0:00
274,301,144,290,23,204,408,144,126,329,123,272,100,178,107,412,495,71,91,72,81,19,2,31,84,97,38,14/9/18 0:00,14/9/18 0:00
275,302,304,388,151,454,163,423,136,152,223,7,140,122,191,315,214,0,72,62,48,56,67,41,100,57,67,14/9/18 0:00,14/9/18 0:00
276,303,403,241,483,162,108,55,299,389,59,132,358,356,490,433,155,57,35,69,80,25,70,10,57,19,48,14/9/18 0:00,14/9/18 0:00
277,304,351,379,302,154,379,8,446,424,474,158,166,114,201,126,381,13,15,22,95,86,96,15,18,100,26,14/9/18 0:00,14/9/18 0:00
278,305,269,299,24,325,219,199,92,244,137,168,219,424,444,419,239,59,9,75,35,46,53,48,67,26,55,14/9/18 0:00,14/9/18 0:00
279,306,421,58,186,345,191,58,240,275,174,234,125,460,61,155,450,7,16,93,84,45,65,12,10,10,79,14/9/18 0:00,14/9/18 0:00
280,307,316,301,10,306,458,378,378,470,418,296,157,499,294,65,285,43,82,35,41,23,69,18,52,35,61,14/9/18 0:00,14/9/18 0:00
281,308,361,93,27,345,122,145,223,312,40,208,366,361,124,21,121,58,49,15,82,50,27,86,45,7,95,14/9/18 0:00,14/9/18 0:00
282,309,471,42,386,232,253,171,380,388,338,398,17,338,147,413,119,55,92,85,91,27,80,81,43,69,26,14/9/18 0:00,14/9/18 0:00
283,310,448,393,357,431,361,483,6,285,460,133,90,493,177,286,105,29,45,1,32,44,46,79,83,28,75,14/9/18 0:00,14/9/18 0:00
284,312,393,239,212,266,386,334,465,302,171,292,442,291,28,417,143,94,78,30,81,17,17,100,1,73,2,14/9/18 0:00,14/9/18 0:00
285,313,359,353,453,43,109,72,192,340,395,88,409,286,305,80,424,42,19,88,69,17,68,70,73,9,59,14/9/18 0:00,14/9/18 0:00
286,314,370,67,203,490,319,429,448,178,274,194,54,77,49,133,121,94,100,34,23,70,20,8,56,0,94,14/9/18 0:00,14/9/18 0:00
287,315,195,497,303,222,156,136,420,96,104,493,452,427,82,444,179,8,17,6,75,80,96,67,71,52,98,14/9/18 0:00,14/9/18 0:00
288,316,490,299,125,193,337,446,24,67,313,105,126,342,203,124,345,36,75,8,23,68,91,0,86,26,81,14/9/18 0:00,14/9/18 0:00
289,317,366,253,429,272,294,345,323,393,234,102,345,252,16,427,111,72,67,78,51,100,77,16,55,87,93,14/9/18 0:00,14/9/18 0:00
290,318,189,194,154,472,215,132,286,102,256,83,130,472,137,328,33,39,21,30,86,85,17,14,20,59,93,14/9/18 0:00,14/9/18 0:00
291,319,468,229,469,451,153,56,362,93,284,366,78,438,309,102,233,23,9,100,71,26,17,19,80,100,63,14/9/18 0:00,14/9/18 0:00
292,320,195,121,70,493,390,190,497,45,112,246,430,356,170,107,277,90,8,82,6,3,22,61,59,46,65,14/9/18 0:00,14/9/18 0:00
293,321,212,216,242,398,487,213,430,432,85,23,47,416,201,395,474,1,36,99,28,54,43,64,20,0,52,14/9/18 0:00,14/9/18 0:00
294,322,188,466,94,338,324,424,476,140,34,376,62,55,177,144,333,14,67,87,1,2,16,33,48,99,97,14/9/18 0:00,14/9/18 0:00
295,323,10,122,191,163,204,466,490,198,444,198,437,487,284,383,291,92,15,64,31,67,39,24,58,46,37,14/9/18 0:00,14/9/18 0:00
296,324,473,430,158,257,37,211,151,406,138,28,179,210,378,61,56,98,2,82,8,16,98,24,44,22,59,14/9/18 0:00,14/9/18 0:00
297,325,29,392,28,302,379,483,178,375,103,424,222,22,440,202,329,56,33,99,48,79,3,78,6,18,39,14/9/18 0:00,14/9/18 0:00
298,326,268,264,237,342,413,45,444,287,50,455,476,242,161,81,404,29,37,1,58,88,11,15,1,7,39,14/9/18 0:00,14/9/18 0:00
299,327,493,234,226,447,51,402,491,321,14,66,190,497,202,239,319,41,73,35,92,85,34,49,37,29,24,14/9/18 0:00,14/9/18 0:00
300,328,440,55,19,422,423,84,430,337,466,227,480,200,37,134,27,80,14,77,20,75,75,78,63,65,67,14/9/18 0:00,14/9/18 0:00
301,329,175,350,247,278,21,332,278,223,487,113,36,405,80,374,60,85,98,97,91,48,69,85,77,31,82,14/9/18 0:00,14/9/18 0:00
302,330,219,122,16,228,6,189,207,434,33,288,467,409,57,401,80,91,61,81,15,15,42,64,74,21,42,14/9/18 0:00,14/9/18 0:00
303,331,468,11,133,303,164,122,491,261,89,125,453,217,442,411,483,29,95,66,93,27,85,16,38,44,0,14/9/18 0:00,14/9/18 0:00
304,333,456,214,199,167,281,339,223,308,191,185,374,198,442,137,74,43,95,100,0,45,2,86,65,3,71,14/9/18 0:00,14/9/18 0:00
305,334,62,119,282,345,169,17,303,195,9,341,191,499,282,247,403,31,3,23,75,45,89,29,31,58,58,14/9/18 0:00,14/9/18 0:00
306,335,445,225,276,351,15,327,2,97,250,42,495,351,209,457,201,79,16,90,98,25,6,92,81,70,70,14/9/18 0:00,14/9/18 0:00
307,336,211,472,144,74,21,366,93,404,86,289,340,64,348,47,87,13,7,20,70,57,78,3,42,58,90,14/9/18 0:00,14/9/18 0:00
308,337,432,209,17,66,186,165,57,138,234,65,137,459,488,362,418,94,18,66,6,26,59,100,13,25,47,14/9/18 0:00,14/9/18 0:00
309,338,274,445,231,22,484,424,10,102,194,408,47,426,158,496,472,39,18,82,46,2,42,100,63,100,64,14/9/18 0:00,14/9/18 0:00
310,339,165,330,231,491,466,198,88,336,308,377,280,156,103,143,218,0,80,79,59,12,17,38,0,83,34,14/9/18 0:00,14/9/18 0:00
311,341,258,245,166,289,35,285,199,19,289,149,84,45,347,31,108,5,51,96,93,18,35,68,90,66,57,14/9/18 0:00,14/9/18 0:00
312,342,356,428,48,27,228,206,334,473,320,231,425,434,424,272,157,43,80,87,18,0,21,49,84,1,28,14/9/18 0:00,14/9/18 0:00
313,344,489,324,142,424,137,58,74,418,190,247,405,238,356,170,259,28,38,48,8,36,91,11,43,2,20,14/9/18 0:00,14/9/18 0:00
314,346,421,403,347,16,289,291,311,144,361,124,84,433,128,76,39,8,80,98,49,38,41,46,81,56,1,14/9/18 0:00,14/9/18 0:00
315,347,304,166,485,78,62,97,57,224,112,441,487,289,288,184,166,71,10,61,51,57,48,20,86,85,19,14/9/18 0:00,14/9/18 0:00
316,349,137,129,230,464,482,21,275,231,178,476,468,480,202,1,177,92,64,0,27,80,93,7,95,67,12,14/9/18 0:00,14/9/18 0:00
317,350,201,193,285,289,328,404,199,343,97,189,312,354,225,192,388,76,12,31,21,23,28,9,57,59,63,14/9/18 0:00,14/9/18 0:00
318,351,296,303,387,331,222,244,160,24,52,416,171,484,373,75,177,41,76,96,89,4,43,91,29,35,83,14/9/18 0:00,14/9/18 0:00
319,352,493,24,14,89,23,205,246,192,27,269,72,434,120,264,210,97,61,97,13,75,40,25,86,69,24,14/9/18 0:00,14/9/18 0:00
320,354,372,191,283,499,221,219,217,235,49,33,167,73,11,264,492,15,46,14,4,98,71,85,27,69,52,14/9/18 0:00,14/9/18 0:00
321,355,227,445,210,456,304,101,136,79,79,495,437,51,431,362,434,3,36,41,40,44,40,34,92,35,31,14/9/18 0:00,14/9/18 0:00
322,356,409,205,277,464,65,467,491,270,309,112,270,438,114,431,168,45,51,31,72,77,67,93,54,88,66,14/9/18 0:00,14/9/18 0:00
323,357,154,174,5,486,126,187,48,13,125,418,243,395,385,107,302,66,41,88,88,77,51,96,2,14,87,14/9/18 0:00,14/9/18 0:00
324,358,435,197,378,439,460,144,18,388,431,363,328,341,406,286,484,97,35,70,51,53,37,37,93,9,12,14/9/18 0:00,14/9/18 0:00
325,359,90,88,400,172,121,262,173,75,202,51,411,428,164,348,369,30,40,93,68,47,96,94,33,22,71,14/9/18 0:00,14/9/18 0:00
326,360,321,28,78,454,421,441,447,152,146,248,107,105,49,69,183,38,11,98,30,39,76,100,33,78,15,14/9/18 0:00,14/9/18 0:00
327,361,277,113,53,44,68,471,438,398,231,165,192,319,172,490,66,80,1,69,81,10,85,60,17,54,42,14/9/18 0:00,14/9/18 0:00
328,362,409,8,137,336,69,490,239,423,275,435,33,207,270,352,313,11,41,43,33,29,41,96,76,3,41,14/9/18 0:00,14/9/18 0:00
329,363,82,380,432,172,336,457,153,170,271,315,287,314,471,303,316,1,100,39,12,98,79,18,80,69,41,14/9/18 0:00,14/9/18 0:00
330,364,345,163,360,292,180,89,9,323,111,382,20,389,447,376,275,32,29,62,31,61,87,73,49,38,80,14/9/18 0:00,14/9/18 0:00
331,365,140,79,249,382,371,95,386,453,260,465,368,59,243,241,411,77,36,30,77,52,22,15,49,85,75,14/9/18 0:00,14/9/18 0:00
332,366,139,71,428,147,146,475,323,354,104,301,150,48,59,164,495,27,72,36,77,98,64,64,51,45,32,14/9/18 0:00,14/9/18 0:00
333,367,311,439,133,58,451,306,20,361,28,237,355,151,282,284,462,92,48,73,38,48,91,43,3,56,20,14/9/18 0:00,14/9/18 0:00
334,368,402,494,293,66,206,432,357,360,33,497,160,447,22,244,16,31,40,82,7,19,10,18,27,45,37,14/9/18 0:00,14/9/18 0:00
335,369,248,57,146,423,213,155,327,344,134,195,363,83,171,361,116,58,27,48,81,12,54,9,7,32,36,14/9/18 0:00,14/9/18 0:00
336,370,500,54,321,458,31,14,50,141,488,60,31,172,160,7,288,2,71,91,4,80,10,86,63,15,37,14/9/18 0:00,14/9/18 0:00
337,371,14,103,345,182,450,410,50,480,351,371,117,381,50,37,399,27,82,94,4,79,7,77,4,46,83,14/9/18 0:00,14/9/18 0:00
338,372,487,353,462,424,182,457,63,79,162,217,139,256,218,444,102,96,54,18,8,73,3,61,22,37,88,14/9/18 0:00,14/9/18 0:00
339,373,452,296,85,473,324,341,318,230,234,347,215,432,413,310,437,50,85,11,45,65,96,100,10,68,0,14/9/18 0:00,14/9/18 0:00
340,374,222,173,357,375,460,280,86,312,182,449,477,432,244,385,96,51,54,30,66,86,26,24,76,9,89,14/9/18 0:00,14/9/18 0:00
341,376,76,323,446,362,215,8,20,151,293,363,41,132,414,358,343,69,54,64,23,32,25,7,10,41,3,14/9/18 0:00,14/9/18 0:00
342,377,465,304,112,384,214,490,446,322,180,263,496,221,209,198,66,49,67,54,17,82,14,87,7,46,69,14/9/18 0:00,14/9/18 0:00
343,378,430,365,75,414,204,127,419,132,20,396,267,62,36,20,409,80,69,54,75,67,23,2,51,92,65,14/9/18 0:00,14/9/18 0:00
344,379,322,55,359,416,476,197,150,57,484,20,184,166,65,395,130,79,26,9,54,3,84,79,29,98,21,14/9/18 0:00,14/9/18 0:00
345,380,290,294,380,441,268,170,107,473,282,375,6,299,441,433,440,82,59,81,37,62,49,70,45,28,53,14/9/18 0:00,14/9/18 0:00
346,381,435,338,255,296,257,125,298,366,242,183,388,244,52,64,396,97,14,36,93,97,10,26,72,95,27,14/9/18 0:00,14/9/18 0:00
347,382,445,421,295,7,110,499,42,367,36,232,224,78,30,135,190,82,68,93,89,47,80,22,30,95,28,14/9/18 0:00,14/9/18 0:00
348,383,102,368,66,23,192,115,159,143,372,500,81,211,24,53,228,60,41,10,8,29,91,88,87,63,53,14/9/18 0:00,14/9/18 0:00
349,384,423,471,446,33,97,185,108,436,467,471,250,306,3,113,235,22,73,76,26,100,99,77,20,40,49,14/9/18 0:00,14/9/18 0:00
350,385,148,40,489,64,303,42,322,27,455,57,33,469,157,194,183,67,10,62,46,49,26,20,51,75,83,14/9/18 0:00,14/9/18 0:00
351,386,331,36,259,391,370,250,446,350,375,263,74,459,147,30,418,48,92,22,66,56,26,21,9,53,7,14/9/18 0:00,14/9/18 0:00
352,387,373,154,4,292,99,261,19,101,200,373,298,485,174,395,434,69,41,21,23,7,5,99,63,96,79,14/9/18 0:00,14/9/18 0:00
353,388,166,52,135,6,68,342,471,323,368,260,143,111,445,222,169,39,86,67,50,94,77,56,40,46,50,14/9/18 0:00,14/9/18 0:00
354,389,46,448,208,496,293,458,257,403,108,370,348,373,72,345,274,43,54,61,2,34,63,19,21,57,70,14/9/18 0:00,14/9/18 0:00
355,390,361,472,293,255,108,443,33,47,434,272,33,117,486,349,335,53,8,71,70,19,19,46,72,82,83,14/9/18 0:00,14/9/18 0:00
356,391,104,97,352,237,119,378,4,72,254,391,387,189,336,115,189,11,95,75,31,58,19,69,78,68,100,14/9/18 0:00,14/9/18 0:00
357,392,373,363,411,266,128,85,118,289,82,197,137,10,316,260,227,24,90,1,74,29,81,65,89,89,35,14/9/18 0:00,14/9/18 0:00
358,393,18,267,219,267,469,86,167,9,324,403,251,84,419,409,18,62,19,44,99,4,49,49,46,5,34,14/9/18 0:00,14/9/18 0:00
359,394,166,480,72,397,476,471,332,389,453,368,162,194,453,237,35,51,93,10,37,17,47,41,61,56,27,14/9/18 0:00,14/9/18 0:00
360,395,407,134,260,481,128,488,173,386,130,307,295,455,283,336,130,56,98,6,87,37,78,31,45,7,45,14/9/18 0:00,14/9/18 0:00
361,396,409,103,472,3,33,278,500,334,237,169,246,287,159,234,374,8,59,85,25,53,87,90,12,28,29,14/9/18 0:00,14/9/18 0:00
362,397,344,391,189,270,371,4,386,73,109,109,424,359,361,59,132,16,33,81,8,78,33,86,16,76,95,14/9/18 0:00,14/9/18 0:00
363,398,422,308,320,172,355,182,167,418,335,16,466,279,489,321,172,39,90,27,70,45,31,68,3,27,35,14/9/18 0:00,14/9/18 0:00
364,400,22,274,271,214,116,101,57,1,6,239,91,164,329,441,242,26,79,10,77,66,23,61,69,38,99,14/9/18 0:00,14/9/18 0:00
